DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-03 09:49:07.483,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
388665,1.0000,-0.0002,-0.0004,0.0008,-0.0004,-0.0027,0.3168,-0.0096,-0.0827,9.5054,-0.0147,-0.0215,0.0465,-0.5630,0.8076,-2.9998,0.9454,-0.0048,0.0014,-0.3258,-0.5739,-0.0269,-38.0226,0
388998,1.0000,-0.0002,-0.0003,0.0008,-0.0004,-0.0029,0.3162,-0.0091,-0.0887,9.4866,-0.0150,-0.0203,0.0453,-0.5630,0.8147,-2.9998,0.9456,-0.0050,0.0013,-0.3253,-0.5862,-0.0464,-37.9721,0
389331,1.0000,-0.0002,-0.0003,0.0008,-0.0006,-0.0025,0.3170,-0.0135,-0.0778,9.5114,-0.0144,-0.0209,0.0460,-0.5610,0.8098,-3.0027,0.9458,-0.0051,0.0012,-0.3248,-0.6015,-0.0647,-37.9074,0
389665,1.0000,-0.0002,-0.0004,0.0008,-0.0007,-0.0029,0.3161,-0.0167,-0.0881,9.4820,-0.0145,-0.0215,0.0461,-0.5649,0.8071,-3.0002,0.9459,-0.0053,0.0010,-0.3243,-0.6153,-0.0860,-37.8427,0
389998,1.0000,-0.0002,-0.0003,0.0008,-0.0004,-0.0030,0.3166,-0.0102,-0.0927,9.4971,-0.0143,-0.0202,0.0462,-0.5664,0.8145,-2.9949,0.9461,-0.0055,0.0009,-0.3238,-0.6333,-0.1042,-37.7860,0
390331,1.0000,-0.0002,-0.0004,0.0008,-0.0004,-0.0030,0.3172,-0.0082,-0.0909,9.5159,-0.0149,-0.0213,0.0463,-0.5630,0.8076,-3.0012,0.9463,-0.0058,0.0008,-0.3233,-0.6538,-0.1274,-37.7242,0
390665,1.0000,-0.0002,-0.0004,0.0008,-0.0006,-0.0027,0.3166,-0.0153,-0.0825,9.4972,-0.0143,-0.0212,0.0459,-0.5635,0.8071,-3.0046,0.9465,-0.0060,0.0006,-0.3228,-0.6737,-0.1526,-37.6633,0
390998,1.0000,-0.0002,-0.0004,0.0008,-0.0006,-0.0028,0.3169,-0.0154,-0.0874,9.5064,-0.0144,-0.0215,0.0461,-0.5684,0.8115,-2.9973,0.9466,-0.0062,0.0005,-0.3223,-0.6926,-0.1792,-37.6001,0
391331,1.0000,-0.0002,-0.0004,0.0008,-0.0005,-0.0029,0.3165,-0.0129,-0.0896,9.4936,-0.0146,-0.0217,0.0459,-0.5686,0.8071,-3.0061,0.9468,-0.0065,0.0003,-0.3217,-0.7123,-0.2058,-37.5367,0
391665,1.0000,-0.0002,-0.0003,0.0008,-0.0004,-0.0029,0.3164,-0.0085,-0.0891,9.4931,-0.0146,-0.0208,0.0465,-0.5647,0.8032,-3.0071,0.9470,-0.0067,0.0001,-0.3212,-0.7322,-0.2311,-37.4731,0
