DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-06-26 11:03:22.788,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
6687869,1.0000,-0.0002,-0.0004,0.0008,0.0045,-0.0017,0.3167,0.1377,-0.0540,9.5016,-0.0104,-0.0221,0.0481,0.1035,0.7043,-1.3699,0.9977,-0.0031,-0.0078,0.0672,0
6688202,1.0000,-0.0002,-0.0004,0.0008,0.0043,-0.0020,0.3162,0.1327,-0.0613,9.4845,-0.0113,-0.0221,0.0490,0.1016,0.7043,-1.3723,0.9977,-0.0030,-0.0080,0.0677,0
6688536,1.0000,-0.0002,-0.0003,0.0008,0.0041,-0.0020,0.3165,0.1266,-0.0603,9.4954,-0.0106,-0.0206,0.0472,0.1060,0.7029,-1.3718,0.9976,-0.0031,-0.0082,0.0682,0
6688869,1.0000,-0.0002,-0.0004,0.0008,0.0042,-0.0018,0.3160,0.1283,-0.0570,9.4789,-0.0113,-0.0224,0.0461,0.1045,0.7014,-1.3708,0.9976,-0.0032,-0.0084,0.0689,0
6689202,1.0000,-0.0002,-0.0004,0.0008,0.0039,-0.0018,0.3162,0.1215,-0.0570,9.4861,-0.0113,-0.0219,0.0475,0.1035,0.7039,-1.3704,0.9975,-0.0033,-0.0087,0.0696,0
6689536,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0020,0.3169,0.1357,-0.0631,9.5075,-0.0106,-0.0218,0.0484,0.1035,0.7034,-1.3694,0.9975,-0.0034,-0.0089,0.0702,0
6689869,1.0000,-0.0002,-0.0004,0.0008,0.0039,-0.0014,0.3164,0.1196,-0.0425,9.4920,-0.0106,-0.0232,0.0482,0.1040,0.7014,-1.3669,0.9974,-0.0035,-0.0091,0.0709,0
6690202,1.0000,-0.0002,-0.0004,0.0008,0.0039,-0.0017,0.3164,0.1207,-0.0515,9.4906,-0.0107,-0.0222,0.0471,0.1035,0.7014,-1.3728,0.9974,-0.0036,-0.0094,0.0716,0
6690536,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0021,0.3166,0.1352,-0.0657,9.4991,-0.0105,-0.0215,0.0468,0.1035,0.7009,-1.3694,0.9973,-0.0037,-0.0096,0.0722,0
6690869,1.0000,-0.0002,-0.0003,0.0008,0.0043,-0.0018,0.3162,0.1313,-0.0550,9.4863,-0.0114,-0.0198,0.0474,0.1045,0.7004,-1.3684,0.9973,-0.0038,-0.0098,0.0728,0
6691202,1.0000,-0.0002,-0.0004,0.0008,0.0040,-0.0020,0.3172,0.1238,-0.0613,9.5169,-0.0105,-0.0218,0.0476,0.1040,0.7048,-1.3689,0.9972,-0.0039,-0.0101,0.0735,0
6691536,1.0000,-0.0002,-0.0003,0.0008,0.0044,-0.0019,0.3161,0.1358,-0.0589,9.4843,-0.0111,-0.0210,0.0471,0.1055,0.7019,-1.3689,0.9972,-0.0040,-0.0103,0.0742,0
6691869,1.0000,-0.0002,-0.0004,0.0008,0.0042,-0.0016,0.3163,0.1307,-0.0509,9.4876,-0.0110,-0.0212,0.0470,0.1055,0.7000,-1.3694,0.9971,-0.0041,-0.0105,0.0749,0
6692202,1.0000,-0.0002,-0.0004,0.0008,0.0045,-0.0021,0.3163,0.1395,-0.0651,9.4896,-0.0104,-0.0215,0.0469,0.1035,0.7024,-1.3684,0.9971,-0.0042,-0.0108,0.0755,0
6692536,1.0000,-0.0002,-0.0004,0.0008,0.0039,-0.0019,0.3162,0.1218,-0.0576,9.4848,-0.0112,-0.0223,0.0466,0.1035,0.7043,-1.3713,0.9970,-0.0043,-0.0111,0.0761,0
6692869,1.0000,-0.0002,-0.0004,0.0008,0.0044,-0.0019,0.3161,0.1352,-0.0595,9.4814,-0.0105,-0.0226,0.0477,0.1030,0.7043,-1.3689,0.9970,-0.0044,-0.0113,0.0768,0
