DeviceTag: Movella DOT4,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 20,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-07-29 09:54:22.539,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
1452543,1.0000,-0.0002,-0.0001,-0.0000,0.0070,-0.0051,0.4736,0.1403,-0.1041,9.4719,-0.0066,-0.0048,-0.0009,0.4380,0.2329,-0.6255,0.8643,-0.0009,-0.0096,0.5030,0
1453043,1.0000,-0.0002,-0.0001,-0.0000,0.0074,-0.0049,0.4738,0.1485,-0.1003,9.4767,-0.0060,-0.0050,-0.0005,0.4336,0.2368,-0.6221,0.8641,-0.0010,-0.0097,0.5032,0
1453543,1.0000,-0.0002,-0.0001,-0.0000,0.0071,-0.0050,0.4740,0.1431,-0.1005,9.4806,-0.0062,-0.0057,-0.0003,0.4355,0.2334,-0.6245,0.8642,-0.0010,-0.0098,0.5030,0
1454043,1.0000,-0.0001,-0.0001,-0.0000,0.0075,-0.0047,0.4744,0.1515,-0.0964,9.4888,-0.0059,-0.0040,-0.0009,0.4351,0.2314,-0.6226,0.8641,-0.0011,-0.0099,0.5032,0
1454543,1.0000,-0.0002,-0.0001,-0.0000,0.0073,-0.0047,0.4742,0.1476,-0.0959,9.4830,-0.0062,-0.0042,-0.0015,0.4385,0.2344,-0.6245,0.8640,-0.0011,-0.0100,0.5034,0
1455043,1.0000,-0.0001,-0.0001,-0.0000,0.0075,-0.0046,0.4741,0.1503,-0.0938,9.4811,-0.0057,-0.0046,-0.0005,0.4370,0.2329,-0.6221,0.8640,-0.0011,-0.0101,0.5034,0
1455543,1.0000,-0.0001,-0.0001,-0.0000,0.0074,-0.0050,0.4746,0.1492,-0.1008,9.4929,-0.0058,-0.0047,-0.0006,0.4351,0.2310,-0.6235,0.8640,-0.0011,-0.0103,0.5034,0
1456043,1.0000,-0.0002,-0.0001,-0.0000,0.0074,-0.0048,0.4741,0.1501,-0.0982,9.4810,-0.0065,-0.0056,-0.0011,0.4355,0.2324,-0.6260,0.8640,-0.0011,-0.0104,0.5034,0
1456543,1.0000,-0.0002,-0.0001,0.0000,0.0076,-0.0051,0.4744,0.1534,-0.1034,9.4888,-0.0063,-0.0043,0.0003,0.4365,0.2314,-0.6235,0.8639,-0.0012,-0.0105,0.5036,0
1457043,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0043,0.4742,0.1531,-0.0882,9.4839,-0.0069,-0.0049,-0.0003,0.4360,0.2334,-0.6240,0.8638,-0.0012,-0.0107,0.5038,0
1457543,1.0000,-0.0002,-0.0001,-0.0000,0.0074,-0.0043,0.4738,0.1488,-0.0883,9.4751,-0.0066,-0.0042,-0.0003,0.4385,0.2344,-0.6216,0.8637,-0.0013,-0.0108,0.5039,0
1458043,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0052,0.4745,0.1522,-0.1052,9.4896,-0.0063,-0.0047,-0.0012,0.4341,0.2339,-0.6221,0.8636,-0.0013,-0.0110,0.5040,0
1458543,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0045,0.4744,0.1512,-0.0920,9.4875,-0.0063,-0.0052,-0.0008,0.4351,0.2358,-0.6221,0.8636,-0.0013,-0.0111,0.5041,0
1459043,1.0000,-0.0001,-0.0001,-0.0000,0.0077,-0.0046,0.4744,0.1553,-0.0933,9.4889,-0.0056,-0.0044,-0.0007,0.4351,0.2324,-0.6240,0.8636,-0.0014,-0.0112,0.5040,0
1459543,1.0000,-0.0001,-0.0001,-0.0000,0.0075,-0.0050,0.4739,0.1520,-0.1019,9.4779,-0.0051,-0.0049,-0.0003,0.4375,0.2344,-0.6216,0.8635,-0.0014,-0.0113,0.5041,0
1460043,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0044,0.4746,0.1507,-0.0887,9.4916,-0.0060,-0.0050,-0.0003,0.4336,0.2344,-0.6245,0.8634,-0.0014,-0.0115,0.5043,0
1460543,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0046,0.4740,0.1532,-0.0935,9.4800,-0.0064,-0.0059,-0.0001,0.4370,0.2334,-0.6250,0.8634,-0.0014,-0.0116,0.5043,0
1461043,1.0000,-0.0002,-0.0001,-0.0000,0.0072,-0.0040,0.4739,0.1450,-0.0821,9.4785,-0.0063,-0.0043,-0.0008,0.4351,0.2324,-0.6240,0.8634,-0.0015,-0.0117,0.5044,0
1461543,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0046,0.4742,0.1536,-0.0939,9.4848,-0.0060,-0.0049,-0.0003,0.4370,0.2339,-0.6226,0.8635,-0.0015,-0.0119,0.5043,0
1462044,1.0000,-0.0002,-0.0001,-0.0000,0.0074,-0.0048,0.4744,0.1487,-0.0974,9.4884,-0.0072,-0.0054,-0.0011,0.4360,0.2354,-0.6250,0.8634,-0.0016,-0.0120,0.5044,0
1462544,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0042,0.4743,0.1504,-0.0857,9.4866,-0.0064,-0.0043,-0.0011,0.4355,0.2339,-0.6240,0.8633,-0.0016,-0.0121,0.5045,0
1463044,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0045,0.4735,0.1503,-0.0906,9.4697,-0.0062,-0.0045,-0.0007,0.4375,0.2334,-0.6240,0.8633,-0.0017,-0.0122,0.5046,0
1463544,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0045,0.4736,0.1515,-0.0905,9.4718,-0.0061,-0.0057,-0.0008,0.4365,0.2324,-0.6226,0.8631,-0.0017,-0.0124,0.5049,0
1464044,1.0000,-0.0002,-0.0001,-0.0000,0.0073,-0.0046,0.4745,0.1480,-0.0945,9.4895,-0.0063,-0.0050,-0.0003,0.4355,0.2363,-0.6250,0.8630,-0.0017,-0.0125,0.5050,0
1464544,1.0000,-0.0002,-0.0001,-0.0000,0.0074,-0.0049,0.4749,0.1489,-0.1003,9.4980,-0.0064,-0.0050,-0.0001,0.4365,0.2349,-0.6216,0.8630,-0.0017,-0.0126,0.5050,0
1465044,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0046,0.4747,0.1522,-0.0946,9.4943,-0.0068,-0.0050,-0.0007,0.4380,0.2339,-0.6196,0.8629,-0.0018,-0.0127,0.5052,0
1465544,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0043,0.4742,0.1511,-0.0887,9.4843,-0.0074,-0.0046,-0.0008,0.4370,0.2334,-0.6255,0.8628,-0.0018,-0.0128,0.5053,0
1466044,1.0000,-0.0002,-0.0001,-0.0000,0.0076,-0.0045,0.4744,0.1528,-0.0924,9.4875,-0.0071,-0.0050,-0.0009,0.4375,0.2349,-0.6260,0.8627,-0.0019,-0.0130,0.5055,0
1466544,1.0000,-0.0001,-0.0001,-0.0000,0.0074,-0.0048,0.4740,0.1489,-0.0973,9.4808,-0.0059,-0.0055,-0.0009,0.4365,0.2339,-0.6255,0.8627,-0.0019,-0.0131,0.5056,0
1467044,1.0000,-0.0002,-0.0001,-0.0000,0.0075,-0.0044,0.4745,0.1503,-0.0902,9.4909,-0.0061,-0.0055,-0.0008,0.4351,0.2319,-0.6221,0.8625,-0.0019,-0.0132,0.5059,0
1467544,1.0000,-0.0001,-0.0001,-0.0000,0.0076,-0.0046,0.4746,0.1530,-0.0927,9.4930,-0.0059,-0.0046,-0.0006,0.4346,0.2344,-0.6240,0.8624,-0.0019,-0.0133,0.5061,0
