DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 20,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-07-28 15:42:08.635,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Status
11646358,1.0000,-0.0004,-0.0005,0.0011,0.0061,-0.0010,0.4732,0.1277,-0.0237,9.4648,-0.0149,-0.0210,0.0445,0.1357,0.4678,-0.8384,0.9910,-0.0011,-0.0080,0.1336,0
11646858,1.0000,-0.0004,-0.0005,0.0011,0.0070,-0.0015,0.4737,0.1446,-0.0330,9.4741,-0.0150,-0.0208,0.0444,0.1387,0.4697,-0.8408,0.9909,-0.0011,-0.0084,0.1345,0
11647358,1.0000,-0.0004,-0.0005,0.0011,0.0071,-0.0009,0.4737,0.1463,-0.0226,9.4731,-0.0147,-0.0210,0.0441,0.1387,0.4668,-0.8442,0.9907,-0.0013,-0.0088,0.1355,0
11647858,1.0000,-0.0004,-0.0005,0.0011,0.0063,-0.0004,0.4739,0.1305,-0.0124,9.4783,-0.0153,-0.0214,0.0437,0.1387,0.4683,-0.8389,0.9906,-0.0015,-0.0092,0.1365,0
11648358,1.0000,-0.0004,-0.0005,0.0011,0.0073,-0.0016,0.4737,0.1511,-0.0364,9.4746,-0.0149,-0.0202,0.0439,0.1387,0.4688,-0.8418,0.9905,-0.0016,-0.0096,0.1374,0
11648858,1.0000,-0.0004,-0.0005,0.0011,0.0070,-0.0007,0.4734,0.1450,-0.0171,9.4673,-0.0152,-0.0214,0.0447,0.1357,0.4692,-0.8413,0.9903,-0.0018,-0.0100,0.1383,0
11649358,1.0000,-0.0004,-0.0005,0.0011,0.0068,-0.0008,0.4741,0.1406,-0.0189,9.4810,-0.0151,-0.0200,0.0438,0.1382,0.4678,-0.8384,0.9902,-0.0020,-0.0104,0.1391,0
11649858,1.0000,-0.0004,-0.0005,0.0011,0.0077,-0.0013,0.4738,0.1593,-0.0300,9.4759,-0.0155,-0.0209,0.0442,0.1396,0.4668,-0.8398,0.9901,-0.0022,-0.0108,0.1400,0
11650358,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0006,0.4740,0.1429,-0.0147,9.4807,-0.0145,-0.0214,0.0438,0.1372,0.4688,-0.8423,0.9899,-0.0024,-0.0113,0.1411,0
11650858,1.0000,-0.0004,-0.0005,0.0011,0.0067,-0.0014,0.4735,0.1389,-0.0309,9.4708,-0.0156,-0.0198,0.0434,0.1348,0.4688,-0.8413,0.9898,-0.0026,-0.0117,0.1420,0
11651358,1.0000,-0.0004,-0.0005,0.0011,0.0071,-0.0010,0.4731,0.1470,-0.0243,9.4611,-0.0150,-0.0202,0.0452,0.1362,0.4688,-0.8394,0.9897,-0.0028,-0.0121,0.1427,0
11651858,1.0000,-0.0004,-0.0005,0.0011,0.0065,-0.0004,0.4744,0.1355,-0.0126,9.4870,-0.0156,-0.0208,0.0445,0.1382,0.4673,-0.8418,0.9896,-0.0031,-0.0125,0.1436,0
11652358,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0011,0.4740,0.1439,-0.0253,9.4798,-0.0150,-0.0208,0.0447,0.1396,0.4673,-0.8398,0.9894,-0.0033,-0.0129,0.1445,0
11652858,1.0000,-0.0004,-0.0005,0.0011,0.0071,-0.0009,0.4748,0.1460,-0.0222,9.4957,-0.0150,-0.0206,0.0441,0.1377,0.4683,-0.8394,0.9893,-0.0035,-0.0133,0.1454,0
11653358,1.0000,-0.0004,-0.0005,0.0011,0.0067,-0.0008,0.4735,0.1394,-0.0193,9.4690,-0.0147,-0.0207,0.0443,0.1362,0.4678,-0.8374,0.9891,-0.0037,-0.0137,0.1464,0
11653858,1.0000,-0.0004,-0.0005,0.0011,0.0073,-0.0014,0.4741,0.1511,-0.0310,9.4825,-0.0146,-0.0206,0.0455,0.1348,0.4624,-0.8389,0.9890,-0.0039,-0.0141,0.1472,0
11654358,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0008,0.4735,0.1420,-0.0207,9.4707,-0.0150,-0.0208,0.0447,0.1377,0.4668,-0.8394,0.9888,-0.0041,-0.0145,0.1486,0
11654858,1.0000,-0.0004,-0.0005,0.0011,0.0067,-0.0011,0.4739,0.1378,-0.0261,9.4781,-0.0149,-0.0200,0.0443,0.1401,0.4658,-0.8398,0.9886,-0.0043,-0.0148,0.1495,0
11655358,1.0000,-0.0004,-0.0005,0.0011,0.0070,-0.0013,0.4738,0.1452,-0.0287,9.4750,-0.0148,-0.0213,0.0432,0.1372,0.4678,-0.8379,0.9885,-0.0045,-0.0152,0.1504,0
11655858,1.0000,-0.0004,-0.0005,0.0011,0.0065,-0.0009,0.4743,0.1342,-0.0224,9.4850,-0.0157,-0.0194,0.0453,0.1372,0.4683,-0.8398,0.9883,-0.0047,-0.0156,0.1514,0
11656358,1.0000,-0.0004,-0.0005,0.0011,0.0064,-0.0013,0.4739,0.1322,-0.0301,9.4787,-0.0156,-0.0206,0.0439,0.1382,0.4688,-0.8408,0.9882,-0.0049,-0.0160,0.1521,0
11656858,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0012,0.4741,0.1428,-0.0283,9.4811,-0.0153,-0.0210,0.0441,0.1372,0.4639,-0.8379,0.9881,-0.0051,-0.0163,0.1528,0
11657358,1.0000,-0.0004,-0.0005,0.0011,0.0066,-0.0015,0.4741,0.1371,-0.0332,9.4813,-0.0152,-0.0204,0.0444,0.1382,0.4668,-0.8394,0.9880,-0.0053,-0.0167,0.1535,0
11657858,1.0000,-0.0004,-0.0006,0.0011,0.0067,-0.0010,0.4743,0.1390,-0.0229,9.4853,-0.0150,-0.0223,0.0438,0.1396,0.4688,-0.8389,0.9878,-0.0055,-0.0171,0.1544,0
11658358,1.0000,-0.0004,-0.0005,0.0011,0.0065,-0.0010,0.4739,0.1355,-0.0244,9.4774,-0.0147,-0.0206,0.0443,0.1382,0.4688,-0.8408,0.9877,-0.0057,-0.0174,0.1550,0
11658858,1.0000,-0.0004,-0.0005,0.0011,0.0065,-0.0012,0.4740,0.1353,-0.0277,9.4806,-0.0153,-0.0187,0.0442,0.1372,0.4668,-0.8374,0.9877,-0.0059,-0.0177,0.1555,0
11659358,1.0000,-0.0004,-0.0005,0.0011,0.0066,-0.0009,0.4739,0.1372,-0.0220,9.4785,-0.0143,-0.0209,0.0446,0.1377,0.4697,-0.8403,0.9875,-0.0061,-0.0180,0.1562,0
11659858,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0015,0.4736,0.1435,-0.0329,9.4726,-0.0153,-0.0206,0.0440,0.1362,0.4702,-0.8418,0.9874,-0.0063,-0.0183,0.1571,0
11660358,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0009,0.4746,0.1427,-0.0214,9.4927,-0.0149,-0.0216,0.0446,0.1357,0.4653,-0.8394,0.9873,-0.0064,-0.0187,0.1577,0
11660859,1.0000,-0.0004,-0.0005,0.0011,0.0069,-0.0009,0.4737,0.1421,-0.0218,9.4735,-0.0147,-0.0208,0.0441,0.1353,0.4697,-0.8354,0.9872,-0.0066,-0.0190,0.1583,0
11661359,1.0000,-0.0004,-0.0005,0.0011,0.0073,-0.0012,0.4738,0.1506,-0.0273,9.4755,-0.0150,-0.0207,0.0447,0.1377,0.4688,-0.8394,0.9871,-0.0068,-0.0193,0.1589,0
11661859,1.0000,-0.0004,-0.0005,0.0011,0.0071,-0.0008,0.4738,0.1467,-0.0197,9.4749,-0.0150,-0.0207,0.0438,0.1367,0.4683,-0.8394,0.9870,-0.0069,-0.0195,0.1595,0
11662359,1.0000,-0.0004,-0.0005,0.0011,0.0068,-0.0004,0.4739,0.1409,-0.0111,9.4769,-0.0151,-0.0204,0.0440,0.1367,0.4663,-0.8384,0.9869,-0.0071,-0.0198,0.1599,0
11662859,1.0000,-0.0004,-0.0005,0.0011,0.0067,-0.0001,0.4738,0.1396,-0.0058,9.4769,-0.0142,-0.0210,0.0435,0.1387,0.4683,-0.8413,0.9868,-0.0072,-0.0200,0.1604,0
