DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-05-19 17:43:48.951,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
1125788,1.0000,-0.0002,-0.0004,0.0007,0.0090,-0.0033,0.3173,0.2728,-0.1006,9.5177,-0.0106,-0.0223,0.0437,0.1250,0.5913,-0.9993,0.9935,-0.0034,-0.0144,0.1127,-0.5755,-1.5943,12.9536,0
1126122,1.0000,-0.0002,-0.0004,0.0007,0.0087,-0.0035,0.3172,0.2661,-0.1069,9.5155,-0.0102,-0.0234,0.0427,0.1274,0.5918,-1.0037,0.9935,-0.0034,-0.0144,0.1127,-0.5743,-1.5966,12.9509,0
1126455,1.0000,-0.0002,-0.0003,0.0007,0.0088,-0.0031,0.3167,0.2657,-0.0939,9.5023,-0.0109,-0.0209,0.0437,0.1304,0.5923,-1.0032,0.9935,-0.0034,-0.0144,0.1127,-0.5744,-1.5941,12.9512,0
1126788,1.0000,-0.0002,-0.0004,0.0007,0.0087,-0.0033,0.3170,0.2651,-0.1012,9.5093,-0.0114,-0.0214,0.0430,0.1299,0.5913,-1.0042,0.9935,-0.0034,-0.0144,0.1127,-0.5754,-1.5926,12.9496,0
1127122,1.0000,-0.0002,-0.0004,0.0007,0.0088,-0.0032,0.3173,0.2666,-0.0991,9.5197,-0.0116,-0.0223,0.0425,0.1279,0.5928,-1.0085,0.9935,-0.0034,-0.0144,0.1127,-0.5768,-1.5927,12.9478,0
1127455,1.0000,-0.0002,-0.0004,0.0007,0.0091,-0.0033,0.3165,0.2768,-0.1006,9.4952,-0.0115,-0.0240,0.0431,0.1265,0.5913,-1.0007,0.9935,-0.0034,-0.0144,0.1127,-0.5781,-1.5962,12.9464,0
1127788,1.0000,-0.0002,-0.0004,0.0007,0.0090,-0.0034,0.3169,0.2725,-0.1025,9.5078,-0.0111,-0.0216,0.0434,0.1270,0.5928,-1.0022,0.9935,-0.0034,-0.0144,0.1127,-0.5786,-1.5950,12.9458,0
1128122,1.0000,-0.0002,-0.0004,0.0007,0.0088,-0.0032,0.3172,0.2691,-0.0977,9.5148,-0.0100,-0.0234,0.0436,0.1265,0.5938,-1.0022,0.9935,-0.0034,-0.0144,0.1126,-0.5769,-1.5972,12.9456,0
1128455,1.0000,-0.0002,-0.0004,0.0007,0.0091,-0.0031,0.3173,0.2759,-0.0948,9.5177,-0.0111,-0.0219,0.0430,0.1299,0.5933,-1.0081,0.9935,-0.0034,-0.0144,0.1126,-0.5773,-1.5966,12.9444,0
1128789,1.0000,-0.0002,-0.0004,0.0007,0.0093,-0.0032,0.3171,0.2812,-0.0980,9.5140,-0.0104,-0.0224,0.0422,0.1304,0.5894,-1.0071,0.9935,-0.0034,-0.0144,0.1126,-0.5765,-1.5971,12.9416,0
